year0,orig,dest,sd_drop_neg,sd_rev_neg,mig_rate,da_min_open,da_min_closed,da_pb_closed
1990,GBR,BDI,0,0,0,0,0,0.12
1990,ALB,BDI,0,0,0,0,0,0
1990,AND,BDI,0,0,0,0,0,0
1990,BIH,BDI,0,0,0,0,0,0
1990,HRV,BDI,0,0,0,0.01,0,0
1990,GIB,BDI,0,0,0,0,0,0
1990,GRC,BDI,0,0,0,0.4,0,4.04
1990,ITA,BDI,0,0,0,0,0,27.15
1990,MLT,BDI,0,0,0,0,0,0
1990,MKD,BDI,0,0,0,0,0,0
1990,PRT,BDI,0,0,0,0,0,0.15
1990,SMR,BDI,0,0,0,0,0,0
1990,SCG,BDI,0,0,0,0.45,0,0.01
1990,SVN,BDI,0,0,0,0.01,0,0
1990,ESP,BDI,0,0,0,26.29,0,0.25
1990,AUT,BDI,0,0,0,0,0,0
1990,BEL,BDI,0,0,274.51,14.26,0,253.77
1990,FRA,BDI,0,0,137.26,20.08,0,43.25
1990,DEU,BDI,0,0,0,0,0,0.06
1990,LIE,BDI,0,0,0,0,0,0
1990,LUX,BDI,0,0,0,0.13,0,0.17
1990,MCO,BDI,0,0,0,0,0,0.01
1990,NLD,BDI,0,0,0,0,0,0.36
1990,CHE,BDI,0,0,0,0,0,0.14
1990,AIA,BDI,0,0,0,0,0,0
1990,ATG,BDI,0,0,0,0,0,0
1990,ABW,BDI,0,0,0,0,0,0
1990,BHS,BDI,0,0,0,0,0,0
1990,BRB,BDI,0,0,0,0,0,0
1990,VGB,BDI,0,0,0,0,0,0
1990,CYM,BDI,0,0,0,0,0,0
1990,CUB,BDI,0,0,0,0,0,0
1990,CUW,BDI,0,0,0,0,0,0
1990,DMA,BDI,0,0,0,0,0,0
1990,DOM,BDI,0,0,0,0,0,0.23
1990,GRD,BDI,0,0,0,0,0,0
1990,GLP,BDI,0,0,0,0,0,0.03
1990,HTI,BDI,0,0,0,0,0,0
1990,JAM,BDI,0,0,0,0,0,0
1990,MTQ,BDI,0,0,0,0,0,0.02
1990,MSR,BDI,0,0,0,0,0,0
1990,PRI,BDI,0,0,0,0,0,0
1990,KNA,BDI,0,0,0,0,0,0
1990,LCA,BDI,0,0,0,0,0,0
1990,VCT,BDI,0,0,0,0,0,0
1990,SXM,BDI,0,0,0,0,0,0
1990,TTO,BDI,0,0,0,0,0,0
1990,TCA,BDI,0,0,0,0,0,0
1990,VIR,BDI,0,0,0,0,0,0
1990,BLZ,BDI,0,0,0,0,0,0
1990,CRI,BDI,0,0,0,0.06,0,0
1990,SLV,BDI,0,0,0,0.04,0,0
1990,GTM,BDI,0,0,0,0,0,0
1990,HND,BDI,0,0,0,0,0,0
1990,MEX,BDI,0,0,0,0,0,0.01
1990,NIC,BDI,0,0,0,0.22,0,0
1990,PAN,BDI,0,0,0,0,0,0
1990,ARG,BDI,0,0,0,0.34,0,0.03
1990,BOL,BDI,0,0,0,0.1,0,0.01
1990,BRA,BDI,0,0,0,0.3,0,0.05
1990,CHL,BDI,0,0,0,0,0,1.4
1990,COL,BDI,0,0,0,0,0,0
1990,ECU,BDI,0,0,0,0,0,0
1990,FLK,BDI,0,0,0,0,0,0
1990,GUF,BDI,0,0,0,0,0,0.01
1990,GUY,BDI,0,0,0,0,0,0
1990,PRY,BDI,0,0,0,0,0,0
1990,PER,BDI,0,0,0,0.03,0,0.01
1990,SUR,BDI,0,0,0,0,0,0
1990,URY,BDI,0,0,0,0,0,0
1990,VEN,BDI,0,0,0,0.13,0,0.01
1990,BMU,BDI,0,0,0,0,0,0
1990,CAN,BDI,0,0,0,1.06,0,32.39
1990,GRL,BDI,0,0,0,0,0,0
1990,SPM,BDI,0,0,0,0,0,0
1990,USA,BDI,0,0,0,9.82,0,0.14
1990,AUS,BDI,0,0,0,0,0,1.52
1990,NZL,BDI,0,0,0,0,0,0
1990,FJI,BDI,0,0,0,0,0,0
1990,NCL,BDI,0,0,0,0,0,0.01
1990,PNG,BDI,0,0,0,0,0,0
1990,SLB,BDI,0,0,0,0,0,0
1990,VUT,BDI,0,0,0,0,0,0
1990,GUM,BDI,0,0,0,0,0,0
1990,KIR,BDI,0,0,0,0,0,0
1990,MHL,BDI,0,0,0,0,0,0
1990,FSM,BDI,0,0,0,0,0,0
1990,NRU,BDI,0,0,0,0,0,0
1990,MNP,BDI,0,0,0,0,0,0
1990,PLW,BDI,0,0,0,0,0,0
1990,ASM,BDI,0,0,0,0,0,0
1990,COK,BDI,0,0,0,0,0,0
1990,PYF,BDI,0,0,0,0,0,0.02
1990,NIU,BDI,0,0,0,0,0,0
