origin_iso,origin_name,origin_flag,originregion_name
MDV,Maldives,🇲🇻,South Asia
MLI,Mali,🇲🇱,Africa
MLT,Malta,🇲🇹,Europe
MHL,Marshall Islands,🇲🇭,none
MTQ,Martinique,🇲🇶,Latin America
MRT,Mauritania,🇲🇷,Africa
MUS,Mauritius,🇲🇺,Africa
MYT,Mayotte,🇾🇹,Africa
MEX,Mexico,🇲🇽,Latin America
FSM,Micronesia,🇫🇲,Oceania
FSM,Micronesia (Fed. States of),🇫🇲,Oceania
MDA,Moldova,🇲🇩,Fmr Soviet Union
MDA,Republic of Moldova,🇲🇩,Fmr Soviet Union
MCO,Monaco,🇲🇨,Europe
MNG,Mongolia,🇲🇳,East Asia
MNE,Montenegro,🇲🇪,Europe
MSR,Montserrat,🇲🇸,none
MAR,Morocco,🇲🇦,Africa
MOZ,Mozambique,🇲🇿,Africa
MMR,Myanmar,🇲🇲,South-East Asia
NAM,Namibia,🇳🇦,Africa
NRU,Nauru,🇳🇷,none
NPL,Nepal,🇳🇵,South Asia
NLD,Netherlands,🇳🇱,Europe
NCL,New Caledonia,🇳🇨,Oceania
NZL,New Zealand,🇳🇿,Oceania
NIC,Nicaragua,🇳🇮,Latin America
NER,Niger,🇳🇪,Africa
NGA,Nigeria,🇳🇬,Africa
NIU,Niue,🇳🇺,none
NFK,Norfolk Island,🇳🇫,none
MNP,Northern Mariana Islands,🇲🇵,none
NOR,Norway,🇳🇴,Europe
OMN,Oman,🇴🇲,West Asia
PAK,Pakistan,🇵🇰,South Asia
PLW,Palau,🇵🇼,none
PSE,"Palestine, State of",🇵🇸,West Asia
PAN,Panama,🇵🇦,Latin America
PNG,Papua New Guinea,🇵🇬,Oceania
PRY,Paraguay,🇵🇾,Latin America
PER,Peru,🇵🇪,Latin America
PHL,Philippines,🇵🇭,South-East Asia
PCN,Pitcairn,🇵🇳,none
POL,Poland,🇵🇱,Europe
PRT,Portugal,🇵🇹,Europe
PRI,Puerto Rico,🇵🇷,Latin America
QAT,Qatar,🇶🇦,West Asia
MKD,Republic of North Macedonia,🇲🇰,Europe
MKD,North Macedonia,🇲🇰,Europe
ROU,Romania,🇷🇴,Europe
RUS,Russian Federation,🇷🇺,Fmr Soviet Union
RWA,Rwanda,🇷🇼,Africa
REU,Réunion,🇷🇪,Africa
REU,Reunion,🇷🇪,Africa
BLM,Saint Barthélemy,🇧🇱,none
SHN,"Saint Helena, Ascension and Tristan da Cunha",🇹🇦,none
KNA,Saint Kitts and Nevis,🇰🇳,none
LCA,Saint Lucia,🇱🇨,Latin America
MAF,Saint Martin,🇲🇫,none
SPM,Saint Pierre and Miquelon,🇵🇲,none
VCT,Saint Vincent and the Grenadines,🇻🇨,Latin America
WSM,Samoa,🇼🇸,Oceania
SMR,San Marino,🇸🇲,Europe
STP,Sao Tome and Principe,🇸🇹,Africa
SAU,Saudi Arabia,🇸🇦,West Asia
SEN,Senegal,🇸🇳,Africa
SRB,Serbia,🇷🇸,Europe
SCG,Serbia and Montenegro,🇷🇸,Europe
SYC,Seychelles,🇸🇨,none
SLE,Sierra Leone,🇸🇱,Africa
SGP,Singapore,🇸🇬,South-East Asia
SXM,Sint Maarten,🇸🇽,none
SVK,Slovakia,🇸🇰,Europe
SVN,Slovenia,🇸🇮,Europe
SLB,Solomon Islands,🇸🇧,Oceania
SOM,Somalia,🇸🇴,Africa
ZAF,South Africa,🇿🇦,Africa
SGS,South Georgia and the South Sandwich Islands,🇬🇸,none
SSD,South Sudan,🇸🇸,Africa
ESP,Spain,🇪🇸,Europe
LKA,Sri Lanka,🇱🇰,South Asia
SDN,Sudan,🇸🇩,Africa
SUD,Sudan,🇸🇩,Africa
SUR,Suriname,🇸🇷,Latin America
SJM,Svalbard and Jan Mayen,🇸🇯,none
SWE,Sweden,🇸🇪,Europe
CHE,Switzerland,🇨🇭,Europe
SYR,Syrian Arab Republic,🇸🇾,West Asia
TWN,Taiwan,🇹🇼,none
TJK,Tajikistan,🇹🇯,Fmr Soviet Union
TZA,United Republic of Tanzania,🇹🇿,Africa
THA,Thailand,🇹🇭,South-East Asia
TLS,Timor-Leste,🇹🇱,South-East Asia
TGO,Togo,🇹🇬,Africa
TKL,Tokelau,🇹🇰,none
TON,Tonga,🇹🇴,Oceania
TTO,Trinidad and Tobago,🇹🇹,Latin America
TUN,Tunisia,🇹🇳,Africa
TUR,Turkey,🇹🇷,West Asia
TKM,Turkmenistan,🇹🇲,Fmr Soviet Union
TCA,Turks and Caicos Islands,🇹🇨,none
TUV,Tuvalu,🇹🇻,none
UGA,Uganda,🇺🇬,Africa
UKR,Ukraine,🇺🇦,Fmr Soviet Union
ARE,United Arab Emirates,🇦🇪,West Asia
GBR,United Kingdom of Great Britain and Northern Ireland,🇬🇧,Europe
GBR,United Kingdom,🇬🇧,Europe
UMI,United States Minor Outlying Islands,🇺🇲,none
USA,United States of America,🇺🇸,North America
URY,Uruguay,🇺🇾,Latin America
UZB,Uzbekistan,🇺🇿,Fmr Soviet Union
VUT,Vanuatu,🇻🇺,Oceania
VEN,Venezuela,🇻🇪,Latin America
VEN,Venezuela (Bolivarian Republic of),🇻🇪,Latin America
VNM,Viet Nam,🇻🇳,South-East Asia
VGB,British Virgin Islands,🇻🇬,none
VIR,US Virgin Islands,🇻🇮,Latin America
VIR,United States Virgin Islands,🇻🇮,Latin America
WLF,Wallis and Futuna,🇼🇫,none
WLF,Wallis and Futuna Islands,🇼🇫,none
ESH,Western Sahara,🇪🇭,Africa
YEM,Yemen,🇾🇪,West Asia
ZMB,Zambia,🇿🇲,Africa
ZWE,Zimbabwe,🇿🇼,Africa
ALA,Åland Islands,🇦🇽,none
